date,sales,forecast
03-01-2023,344,348.96
04-01-2023,721,717.2
05-01-2023,455,470.79
06-01-2023,557,534.64
07-01-2023,696,691.7
08-01-2023,786,777.65
09-01-2023,910,908.19
10-01-2023,838,861.3
11-01-2023,641,629.8
12-01-2023,589,596.58
13-01-2023,670,677.46
14-01-2023,666,670.84
15-01-2023,799,796.2
16-01-2023,896,843.09
17-01-2023,636,690.1
18-01-2023,587,554.89
19-01-2023,603,625.36
20-01-2023,617,625.68
21-01-2023,712,707.42
22-01-2023,877,844.24
23-01-2023,800,841.26
24-01-2023,823,792.19
25-01-2023,481,516.17
26-01-2023,569,573.55
27-01-2023,781,749.18
28-01-2023,618,644.56
29-01-2023,717,742.23
30-01-2023,656,678.36
31-01-2023,921,880.73
01-02-2023,490,529.8
02-02-2023,582,564.17
03-02-2023,718,699.49
04-02-2023,675,683.28
05-02-2023,774,789.34
06-02-2023,780,803.37
07-02-2023,735,729.67
08-02-2023,797,791.5
09-02-2023,650,669.29
10-02-2023,609,619.9
11-02-2023,690,691.65
12-02-2023,936,903.02
13-02-2023,839,839.05
14-02-2023,651,687.98
15-02-2023,570,582.54
16-02-2023,572,553.94
17-02-2023,669,682.96
18-02-2023,555,568.3
19-02-2023,760,735.29
20-02-2023,705,695.34
21-02-2023,815,820.18
22-02-2023,696,685.24
23-02-2023,532,554.98
24-02-2023,614,614.64
25-02-2023,794,762.44
26-02-2023,800,826.94
27-02-2023,720,726.11
28-02-2023,761,766.65
01-03-2023,615,619.83
02-03-2023,678,662.28
03-03-2023,672,682.83
04-03-2023,809,786.24
05-03-2023,836,854.17
06-03-2023,888,879.4
07-03-2023,871,875.09
08-03-2023,671,684.18
09-03-2023,761,752.9
10-03-2023,583,608.04
11-03-2023,771,752.9
12-03-2023,883,874.37
13-03-2023,790,784.76
14-03-2023,760,758.89
15-03-2023,778,765.59
16-03-2023,707,718.36
17-03-2023,614,631.83
18-03-2023,713,705.23
19-03-2023,873,870.41
20-03-2023,950,912
21-03-2023,777,786.38
22-03-2023,785,785.32
23-03-2023,598,608.84
24-03-2023,764,766.01
25-03-2023,843,837.45
26-03-2023,706,725.67
27-03-2023,920,920.67
28-03-2023,776,750.65
29-03-2023,648,694.92
30-03-2023,687,659.66
31-03-2023,744,769.65
01-04-2023,728,756.72
02-04-2023,860,842.9
03-04-2023,943,929.38
04-04-2023,809,828.5
05-04-2023,924,896.6
06-04-2023,526,562.93
07-04-2023,502,503.04
08-04-2023,848,812.17
09-04-2023,950,946.95
10-04-2023,777,777.32
11-04-2023,830,849.5
12-04-2023,648,671.64
13-04-2023,661,642.03
14-04-2023,935,905.77
15-04-2023,866,885.57
16-04-2023,768,768.77
17-04-2023,1048,1022.72
18-04-2023,848,864.77
19-04-2023,723,723.31
20-04-2023,545,585.2
21-04-2023,645,642.1
22-04-2023,885,851.95
23-04-2023,1003,987.42
